velocidad_bala,distancia,salto
-5,695,0
-5,690,0
-5,685,0
-5,680,0
-5,675,0
-5,670,0
-5,665,0
-5,660,0
-5,655,1
-5,650,0
-5,645,0
-5,640,0
-5,635,0
-5,630,0
-5,625,0
-5,620,0
-5,615,0
-5,610,0
-5,605,1
-5,600,1
-5,595,1
-5,590,1
-5,585,1
-5,580,1
-5,575,1
-5,570,1
-5,565,1
-5,560,1
-5,555,1
-5,550,1
-5,545,1
-5,540,1
-5,535,1
-5,530,1
-5,525,1
-5,520,1
-5,515,1
-5,510,1
-5,505,1
-5,500,1
-5,495,1
-5,490,1
-5,485,1
-5,480,1
-5,475,1
-5,470,1
-5,465,1
-5,460,1
-5,455,1
-5,450,0
-5,445,0
-5,440,0
-5,435,1
-5,430,1
-5,425,1
-5,420,1
-5,415,1
-5,410,1
-5,405,1
-5,400,1
-5,395,1
-5,390,1
-5,385,1
-5,380,1
-5,375,1
-5,370,1
-5,365,1
-5,360,1
-5,355,1
-5,350,1
-5,345,1
-5,340,1
-5,335,1
-5,330,1
-5,325,1
-5,320,1
-5,315,1
-5,310,1
-5,305,1
-5,300,1
-5,295,1
-5,290,1
-5,285,1
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,1
-5,230,1
-5,225,1
-5,220,1
-5,215,1
-5,210,1
-5,205,1
-5,200,1
-5,195,1
-5,190,1
-5,185,1
-5,180,1
-5,175,1
-5,170,1
-5,165,1
-5,160,1
-5,155,1
-5,150,1
-5,145,1
-5,140,1
-5,135,1
-5,130,1
-5,125,1
-5,120,1
-5,115,1
-5,110,1
-5,105,1
-5,100,1
-5,95,1
-5,90,1
-5,85,1
-5,80,0
-5,75,1
-5,70,1
-5,65,1
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-12,688,1
-12,676,1
-12,664,1
-12,652,1
-12,640,1
-12,628,1
-12,616,1
-12,604,1
-12,592,1
-12,580,1
-12,568,1
-12,556,1
-12,544,1
-12,532,1
-12,520,1
-12,508,1
-12,496,1
-12,484,1
-12,472,1
-12,460,1
-12,448,1
-12,436,1
-12,424,1
-12,412,1
-12,400,1
-12,388,1
-12,376,1
-12,364,1
-12,352,1
-12,340,1
-12,328,1
-12,316,1
-12,304,1
-12,292,1
-12,280,1
-12,268,0
-12,256,0
-12,244,1
-12,232,1
-12,220,1
-12,208,1
-12,196,1
-12,184,1
-12,172,1
-12,160,1
-12,148,1
-12,136,1
-12,124,1
-12,112,1
-12,100,1
-12,88,1
-12,76,1
-12,64,1
-12,52,1
-12,40,1
-12,28,1
-12,16,1
-12,4,1
-12,8,1
-12,20,1
-12,32,1
-12,44,1
-9,691,1
-9,682,1
-9,673,1
-9,664,1
-9,655,1
-9,646,0
-9,637,0
-9,628,0
-9,619,1
-9,610,1
-9,601,1
-9,592,1
-9,583,1
-9,574,1
-9,565,1
-9,556,1
-9,547,1
-9,538,1
-9,529,1
-9,520,1
-9,511,1
-9,502,1
-9,493,1
-9,484,1
-9,475,1
-9,466,1
-9,457,1
-9,448,1
-9,439,1
-9,430,1
-9,421,1
-9,412,1
-9,403,1
-9,394,1
-9,385,1
-9,376,1
-9,367,1
-9,358,1
-9,349,1
-9,340,1
-9,331,1
-9,322,1
-9,313,1
-9,304,1
-9,295,1
-9,286,1
-9,277,1
-9,268,1
-9,259,1
-9,250,1
-9,241,1
-9,232,1
-9,223,1
-9,214,1
-9,205,1
-9,196,1
-9,187,1
-9,178,1
-9,169,1
-9,160,1
-9,151,1
-9,142,1
-9,133,1
-9,124,1
-9,115,1
-9,106,1
-9,97,1
-9,88,1
-9,79,1
-9,70,1
-9,61,0
-9,52,0
-9,43,1
-9,34,1
